idx,gid,rayon_id,rayon_en,rayon_ru,oblast_id,oblast_en,oblast_ru,country_id
16,16,1722202,Angor,Ангорский,1722,Surkhandarya,Сурхандарьинская,UZB
2180,24,3503200,Asht,Аштский,3503,Sogd,Согдийская,TJK
5221,293,1708218,Zaamin,Зааминский,1708,Djizakh,Джизакская,UZB
1815,275,1722221,Uzun,Узунский,1722,Surkhandarya,Сурхандарьинская,UZB
1146,222,3906219,S.Turkmenbashi,С.Туркменбаши,3906,Dashhovuz,Дашховузская,TKM
51,51,1727228,Buka,Букинский,1727,Tashkent region,Ташкентская,UZB
693,77,1718209,Djambay,Джамбайский,1718,Samarkand,Самаркандская,UZB
4389,77,1718209,Djambay,Джамбайский,1718,Samarkand,Самаркандская,UZB
238,238,1708212,Sharaf Rashidov,Шараф Рашидовск,1708,Djizakh,Джизакская,UZB
5055,127,1706220,Karaulbazar,Караулбазарский,1706,Bukhara,Бухарская,UZB
134,134,1710237,Kasbiy,Касбийский,1710,Qashkadarya,Кашкадарьинская,UZB
17,17,5006017,Aqcha,Aqcha,5006,Jawzjan,Jawzjan,AFG
5039,111,1703214,Izbaskan,Избасканский,1703,Andijan,Андижанская,UZB
2536,72,5001011,Dawlat abad,Dawlat abad,5001,Balkh,Balkh,AFG
187,187,1718218,Narpay,Нарпайский,1718,Samarkand,Самаркандская,UZB
208,208,1727249,Parkent,Паркентский,1727,Tashkent region,Ташкентская,UZB
4486,174,3503208,Mastchoh,Матчинский,3503,Sogd,Согдийская,TJK
5043,115,3502221,Jilikul,Джиликульский,3502,Khatlon,Хатлонская,TJK
2481,17,5006017,Aqcha,Aqcha,5006,Jawzjan,Jawzjan,AFG
74,74,1722210,Denau,Денауский,1722,Surkhandarya,Сурхандарьинская,UZB
149,149,1735236,Khodjeyli,Ходжейлийский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
196,196,1735225,Nukus,Нукусский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
266,266,1730221,Uchkuprik,Учкуприкский,1730,Fergana,Ферганская,UZB
185,185,5001015,Nahri Shahi,Nahri Shahi,5001,Balkh,Balkh,AFG
289,289,1730242,Yazyavan,Язъяванский,1730,Fergana,Ферганская,UZB
45,45,3502216,Bokhtar,Бохтарский,3502,Khatlon,Хатлонская,TJK
286,286,1733233,Yangibazar,Янгибазарский,1733,Khorezm,Хорезмская,UZB
195,195,3502212,Nosiri Khusrav,Носир-Хусравский,3502,Khatlon,Хатлонская,TJK
5785,241,1722223,Sherabat,Шерабатский,1722,Surkhandarya,Сурхандарьинская,UZB
172,172,1703227,Markhamat,Мархаматский,1703,Andijan,Андижанская,UZB
1805,265,1735233,Turtkul,Турткульский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
260,260,1722220,Termez,Термезский,1722,Surkhandarya,Сурхандарьинская,UZB
76,76,1703211,Djalalkuduk,Джалалкудукский,1703,Andijan,Андижанская,UZB
4371,59,3908237,Charshanga,Чаршангынский,3908,Lebap,Лебапская,TKM
4892,272,1714229,Uychi,Уйчинский,1714,Namangan,Наманганская,UZB
5052,124,1735218,Kanlykul,Канлыкульский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
2649,185,5001015,Nahri Shahi,Nahri Shahi,5001,Balkh,Balkh,AFG
156,156,1733212,Koshkupyr,Кошкупырский,1733,Khorezm,Хорезмская,UZB
190,190,1710235,Nishan,Нишанский,1710,Qashkadarya,Кашкадарьинская,UZB
5616,72,5001011,Dawlat abad,Dawlat abad,5001,Balkh,Balkh,AFG
3,3,1718203,Akdarya,Акдарьинский,1718,Samarkand,Самаркандская,UZB
164,164,1730218,Kuva,Кувинский,1730,Fergana,Ферганская,UZB
4271,267,1714234,Uchkurgan,Учкурганский,1714,Namangan,Наманганская,UZB
225,225,3909207,Sarah,Сарахский,3909,Ahal,Ахалская,TKM
4428,116,1706246,Jondor,Жондорский,1706,Bukhara,Бухарская,UZB
263,263,3907232,Turkmengaly,Туркменгалынский,3907,Mary,Марыйская,TKM
227,227,1724226,Sardob,Сардобский,1724,Sirdarya,Сырдарьинская,UZB
1,1,3502224,A.Dzhami,А.Джоми,3502,Khatlon,Хатлонская,TJK
5163,235,1710245,Shahrisabz,Шахрисабский,1710,Qashkadarya,Кашкадарьинская,UZB
4356,44,1730215,Besharyk,Бешарыкский,1730,Fergana,Ферганская,UZB
4968,40,1722204,Baysun,Байсунский,1722,Surkhandarya,Сурхандарьинская,UZB
5203,275,1722221,Uzun,Узунский,1722,Surkhandarya,Сурхандарьинская,UZB
145,145,1712251,Khatyrchi,Хатырчинский,1712,Navoi,Навоийская,UZB
228,228,1722217,Sariasiya,Сариасийский,1722,Surkhandarya,Сурхандарьинская,UZB
93,93,3907209,Garagum,Гарагумский,3907,Mary,Марыйская,TKM
366,58,3908234,Chardjov,Чарджевский,3908,Lebap,Лебапская,TKM
38,38,1958203,Baydibek,район Байдибека,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
280,280,3907205,Vekilbazar,Векилбазарский,3907,Mary,Марыйская,TKM
5627,83,3509249,Faizobod,Файзабадский,3509,RPP,Районы Республиканского по,TJK
26,26,3909206,Badaykhan,Бабадайханский,3909,Ahal,Ахалская,TKM
255,255,5005033,Taluqan,Taluqan,5005,Takhar,Takhar,AFG
4141,137,1958226,Kazygurt,Кызыгуртский район,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
4429,117,3305258,Kadamjay,Кадамжайский,3305,Batken,Баткенский,KGZ
139,139,3906213,Keneurgench,Кенеургенчский,3906,Dashhovuz,Дашховузская,TKM
5591,47,1727224,Bostanlyk,Бостанлыкский,1727,Tashkent region,Ташкентская,UZB
1933,85,1708235,Farish,Фаришский,1708,Djizakh,Джизакская,UZB
46,46,3906209,Boldumsaz,Болдумсазский,3906,Dashhovuz,Дашховузская,TKM
306,306,3907224,Sakarchagin,Сакарчягинский,3907,Mary,Марыйская,TKM
80,80,3908208,Dyanev,Дяневский,3908,Lebap,Лебапская,TKM
183,183,3907218,Murgap,Мургапский,3907,Mary,Марыйская,TKM
871,255,5005033,Taluqan,Taluqan,5005,Takhar,Takhar,AFG
5193,265,1735233,Turtkul,Турткульский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
119,119,3909205,Kaki,Какинский,3909,Ahal,Ахалская,TKM
4637,17,5006017,Aqcha,Aqcha,5006,Jawzjan,Jawzjan,AFG
2601,137,1958226,Kazygurt,Кызыгуртский район,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
101,101,3907211,Gushgy,Гушгынский,3907,Mary,Марыйская,TKM
2638,174,3503208,Mastchoh,Матчинский,3503,Sogd,Согдийская,TJK
106,106,5003036,Hazrati Imam,Hazrati Imam,5003,Kunduz,Kunduz,AFG
3805,109,1718212,Ishtykhan,Иштыханский,1718,Samarkand,Самаркандская,UZB
3849,153,1727248,Kibray,Кибрайский,1727,Tashkent region,Ташкентская,UZB
4009,5,1727212,Akhangaran,Ахангаранский,1727,Tashkent region,Ташкентская,UZB
5811,267,1714234,Uchkurgan,Учкурганский,1714,Namangan,Наманганская,UZB
91,91,1708209,Gallyaaral,Галляаральский,1708,Djizakh,Джизакская,UZB
1985,137,1958226,Kazygurt,Кызыгуртский район,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
